Date,Open,High,Low,Close,Volume,Market Cap
30-06-2019,11931.99,12178.38,10799.01,10817.16,27256473494,"192,442,065,810"
29-06-2019,12400.76,12400.91,11508.38,11959.37,29923961128,"212,739,713,110"
28-06-2019,11162.17,12445.18,10914.49,12407.33,35087757766,"220,681,459,666"
27-06-2019,13017.12,13311.14,10491.85,11182.81,39977475223,"198,878,940,964"
26-06-2019,11778.58,13796.49,11755.60,13016.23,45105733173,"231,462,117,209"
25-06-2019,11007.20,11790.92,11007.20,11790.92,24879684533,"209,647,943,360"
24-06-2019,10853.74,11065.90,10610.43,11011.10,19271652365,"195,762,668,679"
23-06-2019,10696.69,11246.14,10556.10,10855.37,20998326502,"192,970,090,355"
22-06-2019,10175.92,11157.35,10107.04,10701.69,29995204861,"190,214,124,824"
21-06-2019,9525.07,10144.56,9525.07,10144.56,20624008643,"180,293,241,528"
20-06-2019,9273.06,9594.42,9232.48,9527.16,17846823784,"169,304,784,791"
19-06-2019,9078.73,9299.62,9070.40,9273.52,15546809946,"164,780,855,869"
18-06-2019,9335.47,9348.37,9004.90,9081.76,15848210536,"161,353,637,186"
17-06-2019,8988.92,9416.41,8988.92,9320.35,15562951919,"165,573,372,261"
16-06-2019,8841.44,9335.87,8814.56,8994.49,23348550311,"159,769,423,370"
15-06-2019,8689.75,8859.13,8618.40,8838.38,18371033226,"156,982,138,835"
14-06-2019,8230.90,8710.64,8183.39,8693.83,19831162906,"154,398,880,249"
13-06-2019,8145.55,8311.57,8087.06,8230.92,18669407147,"146,160,317,148"
06-12-2019,7925.43,8196.65,7862.36,8145.86,19034432883,"144,634,684,711"
06-11-2019,8004.24,8026.39,7772.80,7927.71,17107279932,"140,748,537,530"
06-10-2019,7692.28,8031.91,7586.73,8000.33,18689275117,"142,023,351,079"
06-09-2019,7949.67,7975.97,7583.22,7688.08,16610726547,"136,465,098,533"
06-08-2019,8036.77,8076.89,7837.61,7954.13,16522722810,"141,172,841,635"
06-07-2019,7826.90,8126.15,7788.37,8043.95,19141423231,"142,754,693,588"
06-06-2019,7819.63,7937.34,7571.47,7822.02,19474611077,"138,800,725,479"
06-05-2019,7704.34,7901.85,7668.67,7824.23,21760923463,"138,824,651,666"
06-04-2019,8210.99,8210.99,7564.49,7707.77,24609731549,"136,742,790,469"
06-03-2019,8741.75,8743.50,8204.19,8208.99,22004511436,"145,619,047,341"
06-02-2019,8565.47,8809.30,8561.24,8742.96,20266216022,"155,077,231,351"
06-01-2019,8573.84,8625.60,8481.58,8564.02,22488303544,"151,890,214,310"
31-05-2019,8320.29,8586.66,8172.55,8574.50,25365190957,"152,059,886,414"
30-05-2019,8661.76,9008.31,8221.27,8319.47,29246528551,"147,525,141,134"
29-05-2019,8718.59,8755.85,8482.73,8659.49,23473479966,"153,537,047,655"
28-05-2019,8802.76,8807.02,8634.72,8719.96,24226919267,"154,590,202,287"
27-05-2019,8674.07,8907.17,8668.70,8805.78,27949839564,"156,093,754,762"
26-05-2019,8055.21,8687.52,7924.67,8673.22,26677970091,"153,725,486,067"
25-05-2019,7991.89,8117.93,7965.98,8052.54,22256813107,"142,708,188,838"
24-05-2019,7881.70,8140.72,7824.45,7987.37,25919126991,"141,539,115,575"
23-05-2019,7677.27,7943.79,7533.20,7881.85,24457107820,"139,654,107,035"
22-05-2019,7956.29,7997.61,7615.99,7680.07,24719473175,"136,063,898,960"
21-05-2019,7977.97,8062.17,7843.34,7963.33,25127245056,"141,065,573,610"
20-05-2019,8196.92,8200.97,7678.78,7978.31,23843404340,"141,315,695,728"
19-05-2019,7267.96,8261.94,7267.96,8197.69,25902422040,"145,185,076,705"
18-05-2019,7341.66,7447.27,7251.50,7271.21,21354286562,"128,761,727,083"
17-05-2019,7886.93,7929.15,7038.12,7343.90,30066644905,"130,034,777,633"
16-05-2019,8194.50,8320.82,7729.61,7884.91,33167197581,"139,599,559,278"
15-05-2019,7989.37,8216.42,7899.11,8205.17,28344112920,"145,254,332,460"
14-05-2019,7807.88,8268.71,7696.39,7994.42,32031452227,"141,508,656,735"
13-05-2019,6971.18,8047.41,6898.28,7814.92,28677672181,"138,316,573,807"
05-12-2019,7203.51,7503.87,6815.77,6972.37,27773333680,"123,389,710,222"
05-11-2019,6379.67,7333.00,6375.70,7204.77,28867562329,"127,488,435,181"
05-10-2019,6175.82,6434.62,6161.52,6378.85,19419875368,"112,863,284,035"
05-09-2019,5982.32,6183.04,5982.32,6174.53,16784645411,"109,238,600,750"
05-08-2019,5849.48,5989.98,5794.72,5982.46,15320605300,"105,829,143,585"
05-07-2019,5745.60,5988.18,5741.40,5829.50,18026409033,"103,112,368,557"
05-06-2019,5791.69,5802.96,5653.69,5746.81,15737171804,"101,640,471,056"
05-05-2019,5831.07,5833.86,5708.04,5795.71,14808830723,"102,494,420,158"
05-04-2019,5769.20,5886.89,5645.47,5831.17,17567780766,"103,112,021,259"
05-03-2019,5505.55,5865.88,5490.20,5768.29,18720780006,"101,986,240,859"
05-02-2019,5402.42,5522.26,5394.22,5505.28,14644460907,"97,330,112,147"
05-01-2019,5350.91,5418.00,5347.65,5402.70,13679528236,"95,501,110,091"
30-04-2019,5247.73,5363.26,5224.19,5350.73,13878964574,"94,573,826,827"
29-04-2019,5284.86,5311.27,5216.49,5247.35,13735490672,"92,737,510,865"
28-04-2019,5271.75,5326.23,5255.68,5285.14,12819992056,"93,391,244,395"
27-04-2019,5279.47,5310.75,5233.64,5268.29,13111274675,"93,086,156,556"
26-04-2019,5210.30,5383.63,5177.37,5279.35,16812108040,"93,272,287,960"
25-04-2019,5466.52,5542.24,5181.34,5210.52,15330283408,"92,046,492,864"
24-04-2019,5571.51,5642.04,5418.26,5464.87,17048033399,"96,530,038,144"
23-04-2019,5399.37,5633.80,5389.41,5572.36,15867308108,"98,417,387,004"
22-04-2019,5312.49,5422.69,5280.28,5399.37,14601631648,"95,354,207,776"
21-04-2019,5335.88,5359.93,5257.34,5314.53,13731844223,"93,847,052,256"
20-04-2019,5304.16,5358.49,5295.88,5337.89,13169647522,"94,248,717,444"
19-04-2019,5298.15,5336.68,5233.34,5303.81,13780238655,"93,638,345,002"
18-04-2019,5251.48,5319.99,5250.51,5298.39,13256489918,"93,532,402,741"
17-04-2019,5236.14,5274.28,5219.21,5251.94,12438480677,"92,702,617,458"
16-04-2019,5066.58,5238.95,5055.19,5235.56,11618660197,"92,404,613,297"
15-04-2019,5167.32,5196.61,5024.07,5067.11,12290155061,"89,422,237,603"
14-04-2019,5095.76,5184.02,5053.57,5167.72,10391952498,"91,188,595,341"
13-04-2019,5088.85,5127.12,5061.59,5096.59,10823289598,"89,925,574,875"
04-12-2019,5061.20,5103.27,4955.85,5089.54,13675206312,"89,792,633,045"
04-11-2019,5325.08,5354.23,5017.30,5064.49,16555616019,"89,341,168,457"
04-10-2019,5204.11,5421.65,5193.38,5324.55,15504590933,"93,918,439,274"
04-09-2019,5289.92,5289.92,5167.42,5204.96,14722104361,"91,799,330,425"
04-08-2019,5199.84,5318.84,5148.21,5289.77,17154113634,"93,286,365,973"
04-07-2019,5062.79,5235.19,5050.41,5198.90,16655416140,"91,674,230,186"
04-06-2019,5036.79,5205.82,4992.22,5059.82,16929795194,"89,212,733,450"
04-05-2019,4922.81,5053.51,4919.49,5036.68,16837325387,"88,796,118,650"
04-04-2019,4971.31,5063.16,4836.79,4922.80,18251810240,"86,778,727,821"
04-03-2019,4879.96,5307.00,4876.62,4973.02,22899891582,"87,655,288,145"
04-02-2019,4156.92,4905.95,4155.32,4879.88,21315047816,"85,986,009,273"
04-01-2019,4105.36,4164.95,4096.90,4158.18,10157794171,"73,269,368,747"
31-03-2019,4105.46,4113.02,4094.10,4105.40,9045122443,"72,339,379,036"
30-03-2019,4092.14,4296.81,4053.91,4106.66,9732688060,"72,355,190,645"
29-03-2019,4068.30,4113.50,4034.10,4098.37,10918665557,"72,202,088,875"
28-03-2019,4087.58,4094.90,4040.27,4069.11,9353915899,"71,678,998,915"
27-03-2019,3984.24,4087.07,3977.81,4087.07,10897131934,"71,987,847,571"
26-03-2019,3969.23,3985.08,3944.75,3985.08,10707678815,"70,184,147,203"
25-03-2019,4024.11,4038.84,3934.03,3963.07,10359818883,"69,789,872,373"
24-03-2019,4035.16,4040.70,4006.19,4022.17,9144851065,"70,823,042,992"
23-03-2019,4022.71,4049.88,4015.96,4035.83,9578850549,"71,056,017,910"
22-03-2019,4028.51,4053.91,4021.54,4023.97,9252935969,"70,840,048,102"
21-03-2019,4083.95,4097.36,4005.15,4029.33,10831212662,"70,926,226,882"
20-03-2019,4070.79,4089.46,4031.11,4087.48,10175916388,"71,942,444,088"
19-03-2019,4032.69,4082.22,4023.81,4071.19,9344919956,"71,647,703,828"
18-03-2019,4029.97,4071.56,4009.12,4032.51,9646954186,"70,958,165,407"
17-03-2019,4047.72,4054.12,4006.41,4025.23,8221625400,"70,821,939,585"
16-03-2019,3963.90,4077.04,3961.66,4048.73,9856166973,"71,227,967,573"
15-03-2019,3926.66,3968.54,3914.02,3960.91,9394210605,"69,675,002,377"
14-03-2019,3905.58,3946.50,3901.30,3924.37,10480789570,"69,024,696,307"
13-03-2019,3913.05,3926.60,3891.90,3906.72,9469184841,"68,706,700,381"
03-12-2019,3903.76,3926.89,3863.56,3909.16,9809887079,"68,743,000,581"
03-11-2019,3953.74,3966.38,3889.24,3905.23,10125901903,"68,666,928,025"
03-10-2019,3966.17,3966.17,3924.38,3951.60,9713267607,"69,475,297,370"
03-09-2019,3894.55,3987.24,3892.39,3963.31,10796103518,"69,674,508,655"
03-08-2019,3913.23,3950.43,3875.23,3901.13,10638638944,"68,574,579,320"
03-07-2019,3903.38,3939.37,3894.11,3911.48,9584165519,"68,749,421,311"
03-06-2019,3897.08,3919.51,3871.46,3903.94,9175291529,"68,609,885,776"
03-05-2019,3759.83,3903.92,3745.18,3896.38,10174126415,"68,470,655,400"
03-04-2019,3845.09,3867.38,3733.75,3761.56,9029175788,"66,094,551,587"
